Query_E_coli_index	Subject_E_coli_index	Query_length	Subject_length	Alignment_length	Query_start	Query_end	Subject_start	Subject_end	Aligned_count	Percentage_aligned	Max_score	query.start	subject.start	query.end	subject.end	total	percentage
E_coli_16S_4	647398	1554	1446	1446	97	1542	1	1446	1446	100	1446	96	0	12	0	1446	1
E_coli_16S_4	4353165	1554	1446	1446	97	1542	1	1446	1446	100	1446	96	0	12	0	1446	1
E_coli_16S_4	4357159	1554	1428	1428	115	1542	1	1428	1428	100	1428	114	0	12	0	1428	1
E_coli_16S_4	703812	1554	1411	1411	132	1542	1	1411	1411	100	1411	131	0	12	0	1411	1
E_coli_16S_4	718807	1554	1401	1401	97	1497	1	1401	1401	100	1401	96	0	57	0	1401	1
E_coli_16S_4	234942	1554	1379	1379	77	1455	1	1379	1379	100	1379	76	0	99	0	1379	1
E_coli_16S_4	4467807	1554	1367	1367	81	1447	1	1367	1367	100	1367	80	0	107	0	1367	1
E_coli_16S_4	2126483	1554	1331	1331	212	1542	1	1331	1331	100	1331	211	0	12	0	1331	1
E_coli_16S_6	647398	1554	1446	1446	97	1542	1	1446	1446	100	1446	96	0	12	0	1446	1
E_coli_16S_6	4353165	1554	1446	1446	97	1542	1	1446	1446	100	1446	96	0	12	0	1446	1
E_coli_16S_6	4357159	1554	1428	1428	115	1542	1	1428	1428	100	1428	114	0	12	0	1428	1
E_coli_16S_6	703812	1554	1411	1411	132	1542	1	1411	1411	100	1411	131	0	12	0	1411	1
E_coli_16S_6	718807	1554	1401	1401	97	1497	1	1401	1401	100	1401	96	0	57	0	1401	1
E_coli_16S_6	2126483	1554	1331	1331	212	1542	1	1331	1331	100	1331	211	0	12	0	1331	1
E_coli_16S_7	4484815	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	4484812	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	4484814	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	4484813	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	334471	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	55655	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	281988	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	286186	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	290419	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	290259	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	3825042	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	2491913	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	4370676	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	4304896	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	2791486	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	4413886	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	4442665	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	2491966	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	3015457	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	2860492	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	4424245	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	4128193	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	4339667	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	1710509	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	4222666	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	4472364	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	2398496	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	2858910	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	1532014	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	3511465	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	4380554	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	2698331	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	2141651	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	4331300	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	3525955	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	4378508	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	4478952	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	4390361	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	4472215	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	1776649	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	2301559	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	2823736	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	1547666	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	3471217	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	2348240	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	4061648	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	4248573	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	4354312	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	2226852	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	4460481	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	1969304	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	4327166	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	1679935	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	4311602	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	4298036	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	4436814	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	4481227	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	4314467	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	4383233	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	4423887	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	4475680	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	4375331	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	1114406	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	2570902	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	4383605	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	4413755	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	2684950	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	3962303	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	3302869	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	346601	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	265419	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	270963	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	261458	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	317681	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	331756	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_7	529518	1554	1497	1497	28	1524	1	1497	1497	100	1497	27	0	30	0	1497	1
E_coli_16S_7	232363	1554	1480	1480	20	1499	1	1480	1480	100	1480	19	0	55	0	1480	1
E_coli_16S_7	228070	1554	1480	1480	20	1499	1	1480	1480	100	1480	19	0	55	0	1480	1
E_coli_16S_7	230334	1554	1480	1480	20	1499	1	1480	1480	100	1480	19	0	55	0	1480	1
E_coli_16S_7	311530	1554	1468	1468	46	1513	1	1468	1468	100	1468	45	0	41	0	1468	1
E_coli_16S_7	4395034	1554	1466	1466	30	1495	1	1466	1466	100	1466	29	0	59	0	1466	1
E_coli_16S_7	696961	1554	1464	1464	21	1484	1	1464	1464	100	1464	20	0	70	0	1464	1
E_coli_16S_7	645122	1554	1464	1464	21	1484	1	1464	1464	100	1464	20	0	70	0	1464	1
E_coli_16S_7	694513	1554	1464	1464	21	1484	1	1464	1464	100	1464	20	0	70	0	1464	1
E_coli_16S_7	660184	1554	1464	1464	21	1484	1	1464	1464	100	1464	20	0	70	0	1464	1
E_coli_16S_7	2592819	1554	1463	1463	31	1493	1	1463	1463	100	1463	30	0	61	0	1463	1
E_coli_16S_7	703260	1554	1462	1462	21	1482	1	1462	1462	100	1462	20	0	72	0	1462	1
E_coli_16S_7	3709831	1554	1462	1462	25	1486	1	1462	1462	100	1462	24	0	68	0	1462	1
E_coli_16S_7	4063514	1554	1459	1459	30	1488	1	1459	1459	100	1459	29	0	66	0	1459	1
E_coli_16S_7	115181	1554	1459	1459	62	1520	1	1459	1459	100	1459	61	0	34	0	1459	1
E_coli_16S_7	4078705	1554	1458	1458	34	1491	1	1458	1458	100	1458	33	0	63	0	1458	1
E_coli_16S_7	4409055	1554	1457	1457	34	1490	1	1457	1457	100	1457	33	0	64	0	1457	1
E_coli_16S_7	3235363	1554	1452	1452	42	1493	1	1452	1452	100	1452	41	0	61	0	1452	1
E_coli_16S_7	647398	1554	1446	1446	97	1542	1	1446	1446	100	1446	96	0	12	0	1446	1
E_coli_16S_7	4353165	1554	1446	1446	97	1542	1	1446	1446	100	1446	96	0	12	0	1446	1
E_coli_16S_7	4357159	1554	1428	1428	115	1542	1	1428	1428	100	1428	114	0	12	0	1428	1
E_coli_16S_7	703812	1554	1411	1411	132	1542	1	1411	1411	100	1411	131	0	12	0	1411	1
E_coli_16S_7	718807	1554	1401	1401	97	1497	1	1401	1401	100	1401	96	0	57	0	1401	1
E_coli_16S_7	4432928	1554	1387	1387	60	1446	1	1387	1387	100	1387	59	0	108	0	1387	1
E_coli_16S_7	292501	1554	1386	1386	23	1408	1	1386	1386	100	1386	22	0	146	0	1386	1
E_coli_16S_7	4301239	1554	1367	1367	81	1447	1	1367	1367	100	1367	80	0	107	0	1367	1
E_coli_16S_7	648744	1554	1363	1363	28	1390	1	1363	1363	100	1363	27	0	164	0	1363	1
E_coli_16S_7	977872	1554	1363	1363	28	1390	1	1363	1363	100	1363	27	0	164	0	1363	1
E_coli_16S_7	4316586	1554	1363	1363	28	1390	1	1363	1363	100	1363	27	0	164	0	1363	1
E_coli_16S_7	4309983	1554	1363	1363	28	1390	1	1363	1363	100	1363	27	0	164	0	1363	1
E_coli_16S_7	4304117	1554	1363	1363	28	1390	1	1363	1363	100	1363	27	0	164	0	1363	1
E_coli_16S_7	4306633	1554	1363	1363	28	1390	1	1363	1363	100	1363	27	0	164	0	1363	1
E_coli_16S_7	4317690	1554	1363	1363	28	1390	1	1363	1363	100	1363	27	0	164	0	1363	1
E_coli_16S_7	4310859	1554	1363	1363	28	1390	1	1363	1363	100	1363	27	0	164	0	1363	1
E_coli_16S_7	2126483	1554	1331	1331	212	1542	1	1331	1331	100	1331	211	0	12	0	1331	1
E_coli_16S_8	242014	1554	1542	1542	1	1542	1	1542	1542	100	1542	0	0	12	0	1542	1
E_coli_16S_8	257501	1554	1542	1542	1	1542	1	1542	1542	100	1542	0	0	12	0	1542	1
E_coli_16S_8	240823	1554	1542	1542	1	1542	1	1542	1542	100	1542	0	0	12	0	1542	1
E_coli_16S_8	240714	1554	1542	1542	1	1542	1	1542	1542	100	1542	0	0	12	0	1542	1
E_coli_16S_8	245166	1554	1542	1542	1	1542	1	1542	1542	100	1542	0	0	12	0	1542	1
E_coli_16S_8	3956720	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_8	4442583	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_8	3351250	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_8	4309512	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_8	139343	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_8	129458	1554	1462	1462	30	1491	1	1462	1462	100	1462	29	0	63	0	1462	1
E_coli_16S_8	2391442	1554	1358	1358	185	1542	1	1358	1358	100	1358	184	0	12	0	1358	1
E_coli_16S_8	4358474	1554	1358	1358	185	1542	1	1358	1358	100	1358	184	0	12	0	1358	1
E_coli_16S_9	568505	1554	1542	1542	1	1542	1	1542	1542	100	1542	0	0	12	0	1542	1
E_coli_16S_9	4452977	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_9	3635007	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_9	4371877	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_9	3261134	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_9	4369542	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_9	3177368	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_9	2471399	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_9	4374102	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_9	4360690	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_9	1877257	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_9	4448274	1554	1536	1536	7	1542	1	1536	1536	100	1536	6	0	12	0	1536	1
E_coli_16S_9	172419	1554	1467	1467	28	1494	1	1467	1467	100	1467	27	0	60	0	1467	1
E_coli_16S_9	4471072	1554	1399	1399	144	1542	1	1399	1399	100	1399	143	0	12	0	1399	1
E_coli_16S_9	3876381	1554	1393	1393	150	1542	1	1393	1393	100	1393	149	0	12	0	1393	1
E_coli_16S_9	798179	1554	1363	1363	28	1390	1	1363	1363	100	1363	27	0	164	0	1363	1
E_coli_16S_9	2391442	1554	1358	1358	185	1542	1	1358	1358	100	1358	184	0	12	0	1358	1
E_coli_16S_9	4358474	1554	1358	1358	185	1542	1	1358	1358	100	1358	184	0	12	0	1358	1
E_coli_16S_10	4485631	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	4485632	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	4419919	1554	1542	1542	1	1542	1	1542	1542	100	1542	0	0	12	0	1542	1
E_coli_16S_10	2654428	1554	1542	1542	1	1542	1	1542	1542	100	1542	0	0	12	0	1542	1
E_coli_16S_10	4331507	1554	1542	1542	1	1542	1	1542	1542	100	1542	0	0	12	0	1542	1
E_coli_16S_10	4419343	1554	1542	1542	1	1542	1	1542	1542	100	1542	0	0	12	0	1542	1
E_coli_16S_10	236627	1554	1542	1542	1	1542	1	1542	1542	100	1542	0	0	12	0	1542	1
E_coli_16S_10	9673	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	44734	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	285720	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	3872096	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	4414197	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	959241	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	3225329	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	2435721	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	3941544	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	4400469	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	2997932	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	4339525	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	4396158	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	1662020	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	4468247	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	1978484	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	4324984	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	2784266	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	4372378	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	4413549	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	3863785	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	4444694	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	4447634	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	4456291	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	2341108	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	3347745	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	2714332	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	4438518	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	4391807	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	4355901	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	4377685	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	4426002	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	4327390	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	3420287	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	2746544	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	1665756	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	4362874	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	4385234	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	4470996	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	4402414	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	2718762	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	4361645	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	4387112	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	2031812	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	4428530	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	4357251	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	3713912	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	3616576	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	4390504	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	1523294	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	2783526	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	3309259	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	4333258	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	2821728	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	1653133	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	4346463	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	1696780	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
E_coli_16S_10	4371394	1554	1544	1542	1	1542	3	1544	1542	100	1542	0	2	12	0	1542	1
